GD P,GD FF,WT P,WT FF
89.13,90.66,77.41,77.12
90.75,91.71,78.74,78.65
90.18,90.85,78.74,79.6 
90.85,91.33,79.22,80.46
88.08,87.42,78.27,78.27
90.37,67.78,79.12,79.5 
90.09,89.32,77.41,77.03
90.94,89.8,78.27,78.74 
90.09,90.94,77.69,75.41
89.22,87.21,76.72,74.9 
89.32,90.47,77.88,77.98
90.09,90.18,79.69,79.12
63.97,90.37,79.69,79.6 
91.04,91.13,76.93,77.79
89.7,90.37,78.27,77.22 
90.37,91.23,78.46,78.27
90.75,89.23,76.55,77.03
89.61,91.42,77.88,79.03
89.8,90.47,79.31,78.74 
32.44,90.08,77.58,73.66
